Formula,Li_pfu,Li_site_dopant,Li_site_amount,Zr_site_dopant,Zr_site_amount,base_type,charge_check,predicted_log_sigma,predicted_sigma
Li6.200Fe0.10La3Zr1.50Ta0.50O12,6.2,Fe,0.1,Ta,0.5,Fe+Ta,0.0,-3.11484679161415,0.0007676322433311147
Li6.200Ga0.10La3Zr1.50Ta0.50O12,6.2,Ga,0.1,Ta,0.5,Ga+Ta,0.0,-3.140029887154569,0.000724386107761788
Li6.400Fe0.10La3Zr1.70Ta0.30O12,6.4,Fe,0.1,Ta,0.3,Fe+Ta,0.0,-3.2420693463438375,0.0005727045765900905
Li6.200Fe0.10La3Zr1.50Nb0.50O12,6.2,Fe,0.1,Nb,0.5,Fe+Nb,0.0,-3.2527413934172933,0.0005588028424742598
Li6.300Fe0.10La3Zr1.60Ta0.40O12,6.3,Fe,0.1,Ta,0.4,Fe+Ta,0.0,-3.2617049903022894,0.0005473876688280858
Li6.150Fe0.15La3Zr1.60Ta0.40O12,6.15,Fe,0.15,Ta,0.4,Fe+Ta,0.0,-3.2661894742405218,0.0005417644775236219
Li6.450Fe0.10La3Zr1.75Ta0.25O12,6.45,Fe,0.1,Ta,0.25,Fe+Ta,0.0,-3.2733453876917507,0.0005329109111015511
Li6.200Al0.10La3Zr1.50Ta0.50O12,6.2,Al,0.1,Ta,0.5,Al+Ta,0.0,-3.2777650100245213,0.0005275152144768021
Li6.400Fe0.10La3Zr1.70Nb0.30O12,6.4,Fe,0.1,Nb,0.3,Fe+Nb,0.0,-3.281230909004754,0.0005233221187050551
Li6.150Fe0.20La3Zr1.75Nb0.25O12,6.15,Fe,0.2,Nb,0.25,Fe+Nb,0.0,-3.286249483307803,0.0005173095747068186
Li6.150Fe0.20La3Zr1.75Ta0.25O12,6.15,Fe,0.2,Ta,0.25,Fe+Ta,0.0,-3.2907464069150567,0.0005119807038713037
Li6.150Fe0.15La3Zr1.60Nb0.40O12,6.15,Fe,0.15,Nb,0.4,Fe+Nb,0.0,-3.2915404639359265,0.0005110454618673362
Li6.250Fe0.15La3Zr1.70Ta0.30O12,6.25,Fe,0.15,Ta,0.3,Fe+Ta,0.0,-3.294522233363872,0.0005075487548051215
Li6.350Ga0.15La3Zr1.80Nb0.20O12,6.35,Ga,0.15,Nb,0.2,Ga+Nb,0.0,-3.2947830936577716,0.0005072439856500964
Li6.300Fe0.15La3Zr1.75Ta0.25O12,6.3,Fe,0.15,Ta,0.25,Fe+Ta,0.0,-3.2977285325061723,0.0005038154338249148
Li6.350Fe0.15La3Zr1.80Ta0.20O12,6.35,Fe,0.15,Ta,0.2,Fe+Ta,0.0,-3.300823427809263,0.0005002378765988185
Li6.300Fe0.10La3Zr1.60Nb0.40O12,6.3,Fe,0.1,Nb,0.4,Fe+Nb,0.0,-3.301033015494981,0.0004999965233031655
Li6.450Fe0.10La3Zr1.75Nb0.25O12,6.45,Fe,0.1,Nb,0.25,Fe+Nb,0.0,-3.301602476017728,0.0004993413418476488
Li6.350Ga0.15La3Zr1.80Ta0.20O12,6.35,Ga,0.15,Ta,0.2,Ga+Ta,0.0,-3.3025967384100987,0.0004981994704646697
Li6.100Fe0.10La3Zr1.70W0.30O12,6.1,Fe,0.1,W,0.3,Fe+W,0.0,-3.3034227259528866,0.0004972528420869012
Li6.350Fe0.15La3Zr1.80Nb0.20O12,6.35,Fe,0.15,Nb,0.2,Fe+Nb,0.0,-3.305396646532688,0.0004949978965796386
Li6.250Fe0.15La3Zr1.70Nb0.30O12,6.25,Fe,0.15,Nb,0.3,Fe+Nb,0.0,-3.3078465948345865,0.00049221336874212
Li6.300Fe0.15La3Zr1.75Nb0.25O12,6.3,Fe,0.15,Nb,0.25,Fe+Nb,0.0,-3.3085324588093163,0.0004914366492591617
Li6.400Ga0.10La3Zr1.70Ta0.30O12,6.4,Ga,0.1,Ta,0.3,Ga+Ta,0.0,-3.3102473137966397,0.0004894999888012111
Li6.150Ga0.15La3Zr1.60Ta0.40O12,6.15,Ga,0.15,Ta,0.4,Ga+Ta,0.0,-3.3152406978072086,0.0004839041004441636
Li6.200Fe0.20La3Zr1.80Nb0.20O12,6.2,Fe,0.2,Nb,0.2,Fe+Nb,0.0,-3.316817930511389,0.0004821498871947506
Li6.400Fe0.10La3Zr1.70Sb0.30O12,6.4,Fe,0.1,Sb,0.3,Fe+Sb,0.0,-3.3224670525295203,0.0004759188948989976
Li6.350Ga0.15La3Zr1.80Sb0.20O12,6.35,Ga,0.15,Sb,0.2,Ga+Sb,0.0,-3.3273367717803546,0.00047061225062976935
Li6.150Fe0.20La3Zr1.75Sb0.25O12,6.15,Fe,0.2,Sb,0.25,Fe+Sb,0.0,-3.327928339664964,0.0004699716494188366
Li6.150Ga0.15La3Zr1.60Nb0.40O12,6.15,Ga,0.15,Nb,0.4,Ga+Nb,0.0,-3.328850367353601,0.00046897493582858334
Li6.150Fe0.15La3Zr1.60Sb0.40O12,6.15,Fe,0.15,Sb,0.4,Fe+Sb,0.0,-3.3314015443672544,0.00046622811108755664
Li6.500Fe0.10La3Zr1.80Ta0.20O12,6.5,Fe,0.1,Ta,0.2,Fe+Ta,0.0,-3.331430983486462,0.0004661965083840247
Li6.300Ga0.10La3Zr1.60Ta0.40O12,6.3,Ga,0.1,Ta,0.4,Ga+Ta,0.0,-3.3315817127599905,0.0004660347350452797
Li6.200Ga0.10La3Zr1.50Nb0.50O12,6.2,Ga,0.1,Nb,0.5,Ga+Nb,0.0,-3.3316561047071307,0.0004659549130266332
Li6.500Fe0.10La3Zr1.80Nb0.20O12,6.5,Fe,0.1,Nb,0.2,Fe+Nb,0.0,-3.3329820825191105,0.0004645344399038672
Li6.200Fe0.20La3Zr1.80Ta0.20O12,6.2,Fe,0.2,Ta,0.2,Fe+Ta,0.0,-3.3334163211841252,0.00046407019729753326
Li6.150Ga0.20La3Zr1.75Nb0.25O12,6.15,Ga,0.2,Nb,0.25,Ga+Nb,0.0,-3.3355135390603725,0.00046183459405190136
Li6.450Ga0.10La3Zr1.75Ta0.25O12,6.45,Ga,0.1,Ta,0.25,Ga+Ta,0.0,-3.338604262336894,0.0004585595448616119
Li6.300Fe0.10La3Zr1.60Sb0.40O12,6.3,Fe,0.1,Sb,0.4,Fe+Sb,0.0,-3.3405955484319003,0.00045646181372321215
Li6.300Ga0.15La3Zr1.75Ta0.25O12,6.3,Ga,0.15,Ta,0.25,Ga+Ta,0.0,-3.3426155179955424,0.0004543436702560768
Li6.200Fe0.10La3Zr1.75W0.25O12,6.2,Fe,0.1,W,0.25,Fe+W,0.0,-3.343011443101645,0.0004539296560293733
Li6.450Fe0.10La3Zr1.75Sb0.25O12,6.45,Fe,0.1,Sb,0.25,Fe+Sb,0.0,-3.34515409772885,0.0004516956438737776
Li6.300Ga0.15La3Zr1.75Nb0.25O12,6.3,Ga,0.15,Nb,0.25,Ga+Nb,0.0,-3.346320003791383,0.00045048464893258244
