formula,Predicted_log_Sigma,Predicted_Sigma_RT_S_cm
Li6.4La3.0Zr1.4Ta0.6O12,-2.955082165163954,0.0011089649877978093
Li6.4La2.95Gd0.05Zr1.4Ta0.6O12,-2.964013365070612,0.0010863921902386589
Li6.45La2.95Ca0.05Zr1.4Ta0.6O12,-2.970699345210015,0.0010697952242302235
Li6.45La2.95Ba0.05Zr1.4Ta0.6O12,-2.975510920736516,0.0010580083110639782
Li6.4La2.9Gd0.1Zr1.4Ta0.6O12,-2.9812689667695498,0.0010440734045838382
Li6.35Ga0.05La2.9Ca0.1Zr1.4Ta0.6O12,-2.989161984730044,0.001025269446212112
Li6.35La3.0Zr1.35Ta0.65O12,-2.990321219645051,0.0010225364082216786
Li6.35Ga0.05La2.9Ba0.1Zr1.4Ta0.6O12,-2.9909094973620642,0.001021152259481605
Li6.4Ga0.05La2.85Ca0.15Zr1.4Ta0.6O12,-2.990963170753931,0.0010210260655717928
Li6.4La2.85Gd0.15Zr1.4Ta0.6O12,-2.990963170753931,0.0010210260655717928
Li6.4La2.95Ca0.05Zr1.35Ta0.65O12,-2.9911132144016728,0.0010206733739751685
Li6.4La2.8Gd0.2Zr1.4Ta0.6O12,-2.994599073634693,0.001012513742288548
Li6.4La2.95Ba0.05Zr1.35Ta0.65O12,-2.9966735916570526,0.0010076887460283923
Li6.4Ga0.05La2.85Ba0.15Zr1.4Ta0.6O12,-2.996913883552034,0.001007131353582017
Li6.35La2.95Gd0.05Zr1.35Ta0.65O12,-2.9992079385672215,0.0010018254529622428
Li6.45Ga0.05La2.8Ca0.2Zr1.4Ta0.6O12,-3.001285053774096,0.0009970454277012117
Li6.4La2.75Gd0.25Zr1.4Ta0.6O12,-3.002894799952698,0.000993356642106433
Li6.4Ga0.1La2.7Ca0.3Zr1.4Ta0.6O12,-3.005687995710325,0.0009869882995959776
Li6.4La2.7Gd0.3Zr1.4Ta0.6O12,-3.005687995710325,0.0009869882995959776
Li6.4La2.65Gd0.35Zr1.4Ta0.6O12,-3.0062757990026063,0.0009856533470169342
Li6.35Ga0.1La2.75Ca0.25Zr1.4Ta0.6O12,-3.010190225949073,0.000976809273608438
Li6.45La2.9Ba0.1Zr1.35Ta0.65O12,-3.012495040507111,0.0009716390472958684
Li6.45Ga0.1La2.65Ca0.35Zr1.4Ta0.6O12,-3.0129617791420094,0.0009705953824590826
Li6.45La2.9Ca0.1Zr1.35Ta0.65O12,-3.0131393515160134,0.0009701986109061226
Li6.45Ga0.05La2.8Ba0.2Zr1.4Ta0.6O12,-3.0133472213301,0.0009697343481620093
Li6.35La2.9Gd0.1Zr1.35Ta0.65O12,-3.015280641571823,0.0009654268175057166
Li6.4Ga0.05La2.8Ca0.2Zr1.35Ta0.65O12,-3.020417753393694,0.0009540744081636138
Li6.4Ga0.1La2.7Ba0.3Zr1.4Ta0.6O12,-3.023303239990494,0.0009477564746379571
Li6.35Ga0.1La2.75Ba0.25Zr1.4Ta0.6O12,-3.0236210196144087,0.0009470632410201553
Li6.35Ga0.05La2.85Ca0.15Zr1.35Ta0.65O12,-3.0249748455562036,0.000944115558108929
Li6.35La2.85Gd0.15Zr1.35Ta0.65O12,-3.0249748455562036,0.000944115558108929
Li6.4La2.6Gd0.4Zr1.4Ta0.6O12,-3.025135767219553,0.0009437657942774557
Li6.35Ga0.05La2.85Ba0.15Zr1.35Ta0.65O12,-3.0273927591050516,0.0009388738453766407
Li6.45La3.0Zr1.45Ta0.55O12,-3.0284725754173754,0.0009365423582749011
Li6.35La2.8Gd0.2Zr1.35Ta0.65O12,-3.028685601432848,0.0009360830870364773
Li6.4Ga0.05La2.8Ba0.2Zr1.35Ta0.65O12,-3.0291227198325745,0.0009351413912350071
Li6.45Ga0.1La2.65Ba0.35Zr1.4Ta0.6O12,-3.029989220129897,0.0009332774659197657
Li6.4Ga0.05La2.9Ba0.1Zr1.45Ta0.55O12,-3.030167992193266,0.0009328933726137324
Li6.35Ga0.15La2.6Ca0.4Zr1.4Ta0.6O12,-3.030641640423155,0.000931876499387982
Li6.35Ga0.05La2.95Ba0.05Zr1.45Ta0.55O12,-3.030661597848045,0.0009318336772276624
Li6.45La2.95Gd0.05Zr1.45Ta0.55O12,-3.0318069613228182,0.0009293793929544426
Li6.4Ga0.1La2.65Ca0.35Zr1.35Ta0.65O12,-3.0318558673226454,0.0009292747412233516
Li6.35Ga0.05La2.95Ca0.05Zr1.45Ta0.55O12,-3.032806374153405,0.0009272431333048714
Li6.45Ga0.05La2.75Ca0.25Zr1.35Ta0.65O12,-3.0345265732602,0.0009235776755654084
Li6.4Ga0.05La2.9Ca0.1Zr1.45Ta0.55O12,-3.0348990214202667,0.0009227859608122957
Li6.35La2.75Gd0.25Zr1.35Ta0.65O12,-3.036070271351891,0.000920300649752471
Li6.4Ga0.05La2.95Ba0.05Zr1.5Ta0.5O12,-3.038042461026147,0.0009161309155083161
Li6.35La2.7Gd0.3Zr1.35Ta0.65O12,-3.0388634671095183,0.0009144006642872394
Li6.35Ga0.1La2.7Ca0.3Zr1.35Ta0.65O12,-3.0388634671095183,0.0009144006642872394
Li6.35La2.65Gd0.35Zr1.35Ta0.65O12,-3.0394512704017997,0.0009131638902286523
