formula,sigma,log_sigma
Ba0.05Li6.5La2.95Zr1.45Ta0.55O12,0.000832,-3.079876673709276
Ba0.1Li6.5La2.9Zr1.4Ta0.6O12,0.0008320000000000001,-3.0794169746811306
Ba0.1Li9.8Ge1P2S12,0.000561,-3.251037138743839
Ba0.25Li5.25La2.75Ta2O12,7.41e-06,-5.130181792020672
Ba0.2Li6.5La2.8Zr1.3Ta0.7O12,0.000631,-3.1999706407558657
Ba0.2Li9.6Ge1P2S12,0.000572,-3.2426039712069756
Ba0.3Li6.5La2.7Zr1.2Ta0.8O12,0.000492,-3.3080348972326394
Ba0.3Li9.4Ge1P2S12,0.000707,-3.1505805862031004
Ba0.4Li9.2Ge1P2S12,0.000316,-3.500312917381596
Ba0.5Li5.5La2.5Ta2O12,1.41e-05,-4.85078088734462
Ba0.5Li9Ge1P2S12,9.98e-05,-4.000869458712629
Ba0.5Sr0.5Li6La2Ta2O12,7.1e-06,-5.1487416512809245
Ba1.25Li6.25La1.75Ta2O12,4.99e-05,-4.30189945437661
Ba1.5Li6.5La1.5Ta2O12,3.08e-05,-4.511449283499555
Ba1.75Li6.75La1.25Ta2O12,1.18e-05,-4.928117992693875
Ba2Li7LaTa2O12,2.85e-06,-5.54515513999149
Ba2LiTi2NbO9,1e-07,-7.0
Ba3LiZrTa5(Si2O13)2,1e-10,-10.0
BaLi2P2O7,1.59881e-17,-16.796203144042632
BaLi6La2Nb2O12,6e-06,-5.221424374808178
BaLi6La2Ta2O12,2.25e-05,-4.647
K0.1Li0.9Sb1O3,1.36e-08,-7.866461091629782
K0.25Li5.5La2.75Nb2O12,1.06e-05,-4.974347067367615
KNa2Li3Fe2(Si2O5)6,1e-10,-10.0
Li0.022La0.115Ti0.165Al0.055O0.618,0.000525,-3.28
Li0.022La0.117Ti0.208Al0.001O0.626,0.00126,-2.899
Li0.022La0.118Ti0.2Al0.004O0.631,0.000891,-3.049
Li0.05La0.65Mg0.5W0.5O3,1.8e-07,-6.7447274948966935
Li0.067La0.64Ti1O2.99,7.9e-05,-4.102
Li0.06La0.313Nb1O3,2.33e-05,-4.632
Li0.06La0.66Ti0.93Al0.06O3,1.68e-06,-5.774
Li0.0891La0.57Ti1Ag0.1809O3,2e-07,-6.698970004336019
Li0.08La0.64Ti1O3,0.000335,-3.474955192963155
Li0.09La0.303Nb1O3,3.52e-05,-4.453
Li0.11La0.63Mg0.5W0.5O3,6.8e-06,-5.167491087293763
Li0.12La0.29Nb1O3,4.25e-05,-4.371
Li0.135La0.57Ti1Ag0.135O3,2.3e-05,-4.638272163982407
Li0.14La0.62Mg0.5W0.5O3,1.2e-05,-4.920818753952375
Li0.14La0.62Ti1O3,0.000442,-3.354577730650908
Li0.15La0.283Nb1O3,3.85e-05,-4.414
Li0.15La0.66Ti0.85Al0.15O3,9.66e-06,-5.015
Li0.1809La0.57Ti1Ag0.0891O3,0.0001,-4.0
Li0.18La0.273Nb1O3,3.82e-05,-4.417
Li0.18La0.61Ti1O3,0.000412,-3.3851027839668655
Li0.19La0.67Ti0.9Co0.1O3,0.000108,-3.96657624451305
Li0.1La0.63Ti1O3,7.9e-05,-4.102
Li0.1La0.66Ti0.9Al0.1O3,7.34e-06,-5.134
Li0.215La0.595Ti1O3,0.000853,-3.0690509688324767
Li0.245La0.592Ti0.98Mn0.02O3,0.001,-3.0
Li0.24La0.59Ti1O3,0.000121,-3.949
Li0.25La0.25Ta1O3,0.00019605,-4.0096797463308596
Li0.25La0.66Ti0.75Al0.25O3,7.66e-05,-4.115
Li0.25Nd0.25Ta1O3,9.6155e-07,-6.800364352172117
Li0.25Sm0.25Ta1O3,4.32e-10,-9.364516253185087
Li0.27La0.57Ti1O3,0.00034,-3.4685210829577446
Li0.27La0.58Ti1O3,0.0007155,-3.1512249256599825
Li0.27La0.59Ti1O3,0.00058,-3.236
Li0.284Sm4.512Si3O12.91,1e-10,-10.0
Li0.29La0.57Ti1O3,0.0016,-2.7954400086720375
Li0.2Ca0.4Ta1O3,3.53e-09,-8.452225294612177
Li0.2La0.66Ti0.8Al0.2O3,4.28e-05,-4.368
Li0.2Zr1.2Nb0.8P3O12,2.38e-07,-6.623
Li0.305La0.565Ti1O3,0.000957,-3.0190880622231564
Li0.31La0.63Ti0.9Co0.1O3,0.00026,-3.5850266520291822
Li0.33La0.56Ti0.92Al0.08O2.92F0.08,0.000494,-3.306273051076353
Li0.33La0.56Ti0.93Al0.07O2.93F0.07,0.000645,-3.1904402853647325
Li0.33La0.56Ti0.94Al0.06O2.94F0.06,0.000106,-3.9746941347352296
Li0.33La0.56Ti0.95Al0.05O2.95F0.05,0.000176,-3.75448733218585
Li0.33La0.56Ti0.96Al0.04O2.96F0.04,0.000622,-3.2061048076545906
Li0.33La0.56Ti0.97Al0.03O2.97F0.03,0.000928,-3.032452023781138
Li0.33La0.56Ti0.98Al0.02O2.98F0.02,0.00106,-2.9746941347352296
