formula,md_validated_conductivity_S_cm,md_validated_activation_energy_eV,haven_ratio,bottleneck_radius_A,bulk_modulus_GPa,shear_modulus_GPa,e_above_hull_meV_atom,Li_vacancy_fraction
Li6.75Al0.25La3Zr2O12,1.92e-3,0.29,0.61,1.85,118.5,45.2,25.4,0.037
Li6.5Ga0.25La3Zr1.75Nb0.25O12,1.61e-3,0.31,0.58,1.79,121.1,46.8,41.8,0.074
Li6.65Zn0.1La3Zr1.9Ta0.1O12,1.25e-3,0.32,0.59,1.77,120.4,46.1,33.1,0.052
Li6.8Sr0.1La3Zr1.9Nb0.1O12,9.81e-4,0.33,0.63,1.75,117.9,44.9,55.2,0.030
Li6.85La3Zr1.85Ta0.15O12,8.99e-4,0.34,0.65,1.74,119.8,45.8,48.1,0.022
Li6.7Mg0.15La3Zr2O12,8.15e-4,0.34,0.62,1.76,118.2,45.1,61.5,0.044
Li6.6La3Zr1.6Ti0.4O12,6.50e-4,0.35,0.66,1.71,122.3,47.5,68.9,0.059
Li6.75Y0.125La3Zr1.875O12,5.41e-4,0.36,0.68,1.72,120.0,46.0,59.3,0.037
Li6.4Al0.2La3Zr1.6Nb0.2O12,5.05e-4,0.36,0.60,1.73,121.8,47.1,51.7,0.089
Li6.9Ba0.05La3Zr1.95Ta0.05O12,4.20e-4,0.37,0.64,1.74,117.5,44.6,66.4,0.015
