Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -672.9334    -684.7927      11.8593   955.7
0.0020        -673.1814    -684.5952      11.4137   919.8
0.0040        -673.2264    -684.0331      10.8068   870.9
0.0060        -673.2133    -683.1855       9.9722   803.6
0.0080        -672.6893    -682.1557       9.4664   762.9
0.0100        -672.5452    -681.0141       8.4689   682.5
0.0120        -671.9880    -679.8842       7.8962   636.3
0.0140        -672.0297    -678.9017       6.8720   553.8
0.0160        -672.0873    -678.1207       6.0334   486.2
0.0180        -671.8456    -677.5862       5.7406   462.6
0.0200        -671.4099    -677.2767       5.8668   472.8
0.0220        -670.8341    -677.1422       6.3080   508.3
0.0240        -670.3705    -677.1132       6.7427   543.4
0.0260        -669.8885    -677.1053       7.2168   581.6
0.0280        -669.6181    -677.0696       7.4515   600.5
0.0300        -669.3454    -677.0395       7.6941   620.0
0.0320        -669.0602    -676.9624       7.9022   636.8
0.0340        -668.8186    -676.8260       8.0074   645.3
0.0360        -668.5620    -676.6648       8.1028   653.0
0.0380        -668.6396    -676.4928       7.8532   632.9
0.0400        -668.4268    -676.3611       7.9343   639.4
0.0420        -668.0477    -676.3015       8.2538   665.1
0.0440        -668.2416    -676.2716       8.0300   647.1
0.0460        -668.1538    -676.2125       8.0587   649.4
0.0480        -667.8981    -676.1713       8.2732   666.7
0.0500        -667.5215    -676.1548       8.6333   695.7
0.0520        -668.0531    -676.1936       8.1405   656.0
0.0540        -668.3260    -676.2386       7.9127   637.7
0.0560        -668.4119    -676.2774       7.8655   633.9
0.0580        -668.3352    -676.3012       7.9660   642.0
0.0600        -668.3463    -676.2787       7.9325   639.3
0.0620        -668.0728    -676.2140       8.1412   656.1
0.0640        -668.2894    -676.1184       7.8290   630.9
0.0660        -667.8882    -676.0481       8.1599   657.6
0.0680        -667.8550    -675.9937       8.1387   655.9
0.0700        -667.9064    -675.9338       8.0275   646.9
0.0720        -668.1542    -675.9052       7.7510   624.6
0.0740        -667.9114    -675.9128       8.0014   644.8
0.0760        -667.8733    -675.9581       8.0849   651.5
0.0780        -667.3154    -676.0118       8.6964   700.8
0.0800        -667.0621    -676.0037       8.9416   720.6
0.0820        -667.1811    -675.8869       8.7058   701.6
0.0840        -667.0050    -675.6790       8.6739   699.0
0.0860        -666.9620    -675.4418       8.4798   683.4
0.0880        -666.5308    -675.2740       8.7431   704.6
0.0900        -666.8211    -675.1924       8.3713   674.6
0.0920        -666.4989    -675.1655       8.6667   698.4
0.0940        -666.1024    -675.2271       9.1246   735.3
0.0960        -665.6238    -675.3710       9.7473   785.5
0.0980        -665.5728    -675.5145       9.9417   801.2
0.1000        -664.9086    -675.5721      10.6635   859.3
0.1020        -664.3357    -675.5420      11.2062   903.1
0.1040        -664.1639    -675.4288      11.2649   907.8
0.1060        -663.5475    -675.3029      11.7554   947.3
0.1080        -663.6751    -675.2242      11.5491   930.7
0.1100        -664.1620    -675.1471      10.9851   885.3
0.1120        -663.9504    -675.0355      11.0851   893.3
0.1140        -663.7683    -674.8395      11.0712   892.2
0.1160        -663.6505    -674.5986      10.9481   882.3
0.1180        -663.3344    -674.3105      10.9761   884.5
0.1200        -663.5304    -674.0709      10.5406   849.4
0.1220        -663.5853    -673.8925      10.3072   830.6
0.1240        -663.6015    -673.8004      10.1988   821.9
0.1260        -663.9098    -673.7502       9.8405   793.0
0.1280        -663.9841    -673.7786       9.7945   789.3
0.1300        -663.8075    -673.8343      10.0268   808.0
0.1320        -663.5885    -673.8295      10.2410   825.3
0.1340        -663.0727    -673.7850      10.7122   863.3
0.1360        -663.1280    -673.6477      10.5197   847.7
0.1380        -663.3247    -673.5328      10.2081   822.6
0.1400        -662.6857    -673.4779      10.7922   869.7
0.1420        -662.0052    -673.5594      11.5543   931.1
0.1440        -661.4156    -673.7339      12.3183   992.7
0.1460        -660.9912    -673.9451      12.9538  1043.9
0.1480        -661.3821    -674.1248      12.7427  1026.9
