      Step     Time          Energy          fmax
BFGS:    0 16:37:00     -625.528503        2.442983
BFGS:    1 16:37:02     -626.305786        1.900311
BFGS:    2 16:37:03     -627.699646        2.833177
BFGS:    3 16:37:04     -628.113159        1.310775
BFGS:    4 16:37:05     -628.822083        1.151975
BFGS:    5 16:37:07     -629.810974        1.695288
BFGS:    6 16:37:08     -630.210449        1.895597
BFGS:    7 16:37:09     -630.798218        2.681129
BFGS:    8 16:37:10     -631.826416        1.717058
BFGS:    9 16:37:11     -632.381409        1.507699
BFGS:   10 16:37:12     -632.863831        1.034311
BFGS:   11 16:37:13     -633.371094        0.973148
BFGS:   12 16:37:14     -633.814453        1.182786
BFGS:   13 16:37:15     -634.387207        1.272998
BFGS:   14 16:37:16     -634.842651        1.352085
BFGS:   15 16:37:17     -635.403259        1.331166
BFGS:   16 16:37:18     -635.806335        1.394883
BFGS:   17 16:37:20     -636.308594        0.839423
BFGS:   18 16:37:21     -636.501526        0.807441
BFGS:   19 16:37:22     -636.849731        0.718479
BFGS:   20 16:37:23     -637.048706        1.028544
BFGS:   21 16:49:21     -637.326843        0.880312
BFGS:   22 16:49:23     -637.592163        0.653338
BFGS:   23 21:07:20     -637.815674        0.581945
BFGS:   24 21:07:22     -638.003906        0.574886
BFGS:   25 21:07:24     -638.156677        0.637828
BFGS:   26 21:07:26     -638.301392        0.608205
BFGS:   27 21:07:27     -638.434998        0.462677
      Step     Time          Energy          fmax
BFGS:    0 21:09:22     -625.528503        2.442983
BFGS:    1 21:09:26     -626.305786        1.900311
BFGS:    2 21:09:28     -627.699646        2.833177
BFGS:    3 21:09:30     -628.113159        1.310775
BFGS:    4 21:09:32     -628.822083        1.151975
BFGS:    5 21:09:34     -629.810974        1.695288
BFGS:    6 21:09:35     -630.210449        1.895597
BFGS:    7 21:09:37     -630.798218        2.681129
BFGS:    8 21:09:39     -631.826416        1.717058
BFGS:    9 21:09:40     -632.381409        1.507699
BFGS:   10 21:09:42     -632.863831        1.034311
BFGS:   11 21:09:44     -633.371094        0.973148
BFGS:   12 21:09:46     -633.814453        1.182786
BFGS:   13 21:09:47     -634.387207        1.272998
BFGS:   14 21:09:49     -634.842651        1.352085
BFGS:   15 21:09:51     -635.403259        1.331166
BFGS:   16 21:09:53     -635.806335        1.394883
BFGS:   17 21:09:54     -636.308594        0.839423
BFGS:   18 21:09:56     -636.501526        0.807441
BFGS:   19 21:09:58     -636.849731        0.718479
BFGS:   20 21:09:59     -637.048706        1.028544
BFGS:   21 21:10:01     -637.326843        0.880312
BFGS:   22 21:10:03     -637.592163        0.653338
BFGS:   23 21:10:05     -637.815674        0.581944
BFGS:   24 21:10:06     -638.003906        0.574887
BFGS:   25 21:10:08     -638.156677        0.637829
BFGS:   26 21:10:10     -638.301392        0.608200
BFGS:   27 21:10:11     -638.434998        0.462677
