dopant_La,dopant_Zr,conc_La,conc_Zr,sigma_RT,Ea_eV,spacegroup,bulk_mod_GPa,C1,C2,ALL_PASS
Fe,Nb,0.5,0.2,0.000789347046546454,0.32763093158492507,Ia-3d,90.0,True,True,True
Sr,W,0.3,0.1,0.0007758816422875415,0.27639219642912916,Ia-3d,90.0,True,True,True
Ga,Ti,0.4,0.1,0.000718444685454876,0.21554706104672808,Ia-3d,90.0,True,True,True
Sr,Mo,0.1,0.4,0.000786079107357799,0.49698806971698356,Ia-3d,90.0,True,False,False
Ga,Mo,0.3,0.1,0.0006937506294562444,0.40445081666717875,Ia-3d,90.0,True,False,False
Al,W,0.2,0.1,0.0005988971846056208,0.4005929659773293,Ia-3d,90.0,True,False,False
Sr,Nb,0.3,0.4,0.000520274620651965,0.43084787995758106,Ia-3d,90.0,True,False,False
Sr,Mo,0.4,0.1,0.0004885621072919409,0.3522831136053365,Ia-3d,90.0,False,True,False
Y,Mo,0.1,0.4,0.0004736044832364945,0.25126627621701975,Ia-3d,90.0,False,True,False
Al,Mo,0.4,0.5,0.0004609148606884404,0.25611312456725704,Ia-3d,90.0,False,True,False
Y,Nb,0.5,0.3,0.0004343141680366528,0.27737084811348195,Ia-3d,90.0,False,True,False
,W,0.0,0.3,0.0004243639977605012,0.24032440308169228,Ia-3d,90.0,False,True,False
Fe,W,0.2,0.3,0.00035101104152144674,0.47881279673827576,Ia-3d,90.0,False,False,False
Ga,Ti,0.3,0.1,0.00033421349332183264,0.21901249114183033,Ia-3d,90.0,False,True,False
Ga,Ti,0.4,0.2,0.00032430592324613595,0.4429623337563905,Ia-3d,90.0,False,False,False
Ga,Mo,0.2,0.3,0.00029683501415492177,0.28399372809808526,Ia-3d,90.0,False,True,False
Al,Nb,0.5,0.2,0.00029131641345929855,0.2971037709212731,Ia-3d,90.0,False,True,False
Fe,Nb,0.2,0.2,0.0002352251832681392,0.34434203055644524,Ia-3d,90.0,False,True,False
Mg,Nb,0.5,0.1,0.00023418296558099232,0.37148380684096993,Ia-3d,90.0,False,True,False
Ga,W,0.3,0.3,0.00020430660542376144,0.28658916597207673,Ia-3d,90.0,False,True,False
Ga,,0.1,0.0,0.00019740916547143563,0.27272291972452406,Ia-3d,90.0,False,True,False
Mg,W,0.4,0.1,0.00015738794900053155,0.2463088145822607,Ia-3d,90.0,False,True,False
Sr,Nb,0.2,0.3,0.0001469651402828563,0.35977682976547576,Ia-3d,90.0,False,True,False
Y,Ti,0.5,0.4,0.00013693828487504897,0.37437146642678365,Ia-3d,90.0,False,True,False
Al,Mo,0.3,0.3,0.0001307587199556223,0.38318601273248976,Ia-3d,90.0,False,True,False
Mg,Nb,0.2,0.2,0.00011078843920849538,0.36702886790417893,Ia-3d,90.0,False,True,False
Y,Mo,0.5,0.1,9.851073271276136e-05,0.2967061534924169,Ia-3d,90.0,False,True,False
Fe,Ti,0.1,0.3,9.040815337011895e-05,0.23445104742176107,Ia-3d,90.0,False,True,False
Al,W,0.2,0.4,7.866702758906471e-05,0.44512162128478394,Ia-3d,90.0,False,False,False
Y,W,0.1,0.1,7.338465907269734e-05,0.3009812834581762,Ia-3d,90.0,False,True,False
