      Step     Time          Energy          fmax
BFGS:    0 11:50:30     -684.777466        0.065144
BFGS:    1 11:50:32     -684.778870        0.062125
BFGS:    2 11:50:33     -684.788208        0.038974
BFGS:    3 11:50:34     -684.789001        0.038235
BFGS:    4 11:50:35     -684.792175        0.015866
BFGS:    5 11:50:36     -684.792297        0.013442
BFGS:    6 11:50:37     -684.792480        0.013410
BFGS:    7 11:50:39     -684.792603        0.011410
BFGS:    8 11:50:40     -684.792725        0.009199
      Step     Time          Energy          fmax
BFGS:    0 11:51:11     -684.777466        0.065144
BFGS:    1 11:51:13     -684.778870        0.062125
BFGS:    2 11:51:15     -684.788208        0.038974
BFGS:    3 11:51:16     -684.789001        0.038235
BFGS:    4 11:51:18     -684.792175        0.015866
BFGS:    5 11:51:19     -684.792297        0.013442
BFGS:    6 11:51:20     -684.792480        0.013410
BFGS:    7 11:51:21     -684.792603        0.011410
BFGS:    8 11:51:23     -684.792725        0.009199
      Step     Time          Energy          fmax
BFGS:    0 11:51:40     -684.777466        0.065144
BFGS:    1 11:51:42     -684.778870        0.062125
BFGS:    2 11:51:43     -684.788208        0.038974
BFGS:    3 11:51:45     -684.789001        0.038235
BFGS:    4 11:51:46     -684.792175        0.015866
BFGS:    5 11:51:47     -684.792297        0.013442
BFGS:    6 11:51:49     -684.792480        0.013410
BFGS:    7 11:51:50     -684.792603        0.011410
BFGS:    8 11:51:52     -684.792725        0.009199
      Step     Time          Energy          fmax
BFGS:    0 12:06:18     -684.777466        0.065144
BFGS:    1 12:06:22     -684.778870        0.062125
BFGS:    2 12:06:25     -684.788208        0.038974
BFGS:    3 12:06:27     -684.789001        0.038235
BFGS:    4 12:06:29     -684.792175        0.015866
BFGS:    5 12:06:31     -684.792297        0.013442
BFGS:    6 12:06:33     -684.792480        0.013410
BFGS:    7 12:06:35     -684.792603        0.011410
BFGS:    8 12:06:37     -684.792725        0.009199
