Formula,Li_pfu,Li_site_dopant,Li_site_amount,Zr_site_dopant,Zr_site_amount,base_type,charge_check
Li6.600Al0.10La3Zr1.90Nb0.10O12,6.6,Al,0.1,Nb,0.1,Al+Nb,0.0
Li6.500Al0.10La3Zr1.80Nb0.20O12,6.5,Al,0.1,Nb,0.2,Al+Nb,0.0
Li6.450Al0.10La3Zr1.75Nb0.25O12,6.45,Al,0.1,Nb,0.25,Al+Nb,0.0
Li6.400Al0.10La3Zr1.70Nb0.30O12,6.4,Al,0.1,Nb,0.3,Al+Nb,0.0
Li6.300Al0.10La3Zr1.60Nb0.40O12,6.3,Al,0.1,Nb,0.4,Al+Nb,0.0
Li6.200Al0.10La3Zr1.50Nb0.50O12,6.2,Al,0.1,Nb,0.5,Al+Nb,0.0
Li6.450Al0.15La3Zr1.90Nb0.10O12,6.45,Al,0.15,Nb,0.1,Al+Nb,0.0
Li6.350Al0.15La3Zr1.80Nb0.20O12,6.35,Al,0.15,Nb,0.2,Al+Nb,0.0
Li6.300Al0.15La3Zr1.75Nb0.25O12,6.3,Al,0.15,Nb,0.25,Al+Nb,0.0
Li6.250Al0.15La3Zr1.70Nb0.30O12,6.25,Al,0.15,Nb,0.3,Al+Nb,0.0
Li6.150Al0.15La3Zr1.60Nb0.40O12,6.15,Al,0.15,Nb,0.4,Al+Nb,0.0
Li6.300Al0.20La3Zr1.90Nb0.10O12,6.3,Al,0.2,Nb,0.1,Al+Nb,0.0
Li6.200Al0.20La3Zr1.80Nb0.20O12,6.2,Al,0.2,Nb,0.2,Al+Nb,0.0
Li6.150Al0.20La3Zr1.75Nb0.25O12,6.15,Al,0.2,Nb,0.25,Al+Nb,0.0
Li6.150Al0.25La3Zr1.90Nb0.10O12,6.15,Al,0.25,Nb,0.1,Al+Nb,0.0
Li6.600Al0.10La3Zr1.90Ta0.10O12,6.6,Al,0.1,Ta,0.1,Al+Ta,0.0
Li6.500Al0.10La3Zr1.80Ta0.20O12,6.5,Al,0.1,Ta,0.2,Al+Ta,0.0
Li6.450Al0.10La3Zr1.75Ta0.25O12,6.45,Al,0.1,Ta,0.25,Al+Ta,0.0
Li6.400Al0.10La3Zr1.70Ta0.30O12,6.4,Al,0.1,Ta,0.3,Al+Ta,0.0
Li6.300Al0.10La3Zr1.60Ta0.40O12,6.3,Al,0.1,Ta,0.4,Al+Ta,0.0
Li6.200Al0.10La3Zr1.50Ta0.50O12,6.2,Al,0.1,Ta,0.5,Al+Ta,0.0
Li6.450Al0.15La3Zr1.90Ta0.10O12,6.45,Al,0.15,Ta,0.1,Al+Ta,0.0
Li6.350Al0.15La3Zr1.80Ta0.20O12,6.35,Al,0.15,Ta,0.2,Al+Ta,0.0
Li6.300Al0.15La3Zr1.75Ta0.25O12,6.3,Al,0.15,Ta,0.25,Al+Ta,0.0
Li6.250Al0.15La3Zr1.70Ta0.30O12,6.25,Al,0.15,Ta,0.3,Al+Ta,0.0
Li6.150Al0.15La3Zr1.60Ta0.40O12,6.15,Al,0.15,Ta,0.4,Al+Ta,0.0
Li6.300Al0.20La3Zr1.90Ta0.10O12,6.3,Al,0.2,Ta,0.1,Al+Ta,0.0
Li6.200Al0.20La3Zr1.80Ta0.20O12,6.2,Al,0.2,Ta,0.2,Al+Ta,0.0
Li6.150Al0.20La3Zr1.75Ta0.25O12,6.15,Al,0.2,Ta,0.25,Al+Ta,0.0
Li6.150Al0.25La3Zr1.90Ta0.10O12,6.15,Al,0.25,Ta,0.1,Al+Ta,0.0
Li6.600Al0.10La3Zr1.90Sb0.10O12,6.6,Al,0.1,Sb,0.1,Al+Sb,0.0
Li6.500Al0.10La3Zr1.80Sb0.20O12,6.5,Al,0.1,Sb,0.2,Al+Sb,0.0
Li6.450Al0.10La3Zr1.75Sb0.25O12,6.45,Al,0.1,Sb,0.25,Al+Sb,0.0
Li6.400Al0.10La3Zr1.70Sb0.30O12,6.4,Al,0.1,Sb,0.3,Al+Sb,0.0
Li6.300Al0.10La3Zr1.60Sb0.40O12,6.3,Al,0.1,Sb,0.4,Al+Sb,0.0
Li6.450Al0.15La3Zr1.90Sb0.10O12,6.45,Al,0.15,Sb,0.1,Al+Sb,0.0
Li6.350Al0.15La3Zr1.80Sb0.20O12,6.35,Al,0.15,Sb,0.2,Al+Sb,0.0
Li6.300Al0.15La3Zr1.75Sb0.25O12,6.3,Al,0.15,Sb,0.25,Al+Sb,0.0
Li6.250Al0.15La3Zr1.70Sb0.30O12,6.25,Al,0.15,Sb,0.3,Al+Sb,0.0
Li6.150Al0.15La3Zr1.60Sb0.40O12,6.15,Al,0.15,Sb,0.4,Al+Sb,0.0
Li6.300Al0.20La3Zr1.90Sb0.10O12,6.3,Al,0.2,Sb,0.1,Al+Sb,0.0
Li6.200Al0.20La3Zr1.80Sb0.20O12,6.2,Al,0.2,Sb,0.2,Al+Sb,0.0
Li6.150Al0.20La3Zr1.75Sb0.25O12,6.15,Al,0.2,Sb,0.25,Al+Sb,0.0
Li6.150Al0.25La3Zr1.90Sb0.10O12,6.15,Al,0.25,Sb,0.1,Al+Sb,0.0
Li6.500Al0.10La3Zr1.90W0.10O12,6.5,Al,0.1,W,0.1,Al+W,0.0
Li6.300Al0.10La3Zr1.80W0.20O12,6.3,Al,0.1,W,0.2,Al+W,-0.0
Li6.200Al0.10La3Zr1.75W0.25O12,6.2,Al,0.1,W,0.25,Al+W,0.0
Li6.100Al0.10La3Zr1.70W0.30O12,6.1,Al,0.1,W,0.3,Al+W,0.0
Li6.350Al0.15La3Zr1.90W0.10O12,6.35,Al,0.15,W,0.1,Al+W,0.0
Li6.150Al0.15La3Zr1.80W0.20O12,6.15,Al,0.15,W,0.2,Al+W,0.0
Li6.200Al0.20La3Zr1.90W0.10O12,6.2,Al,0.2,W,0.1,Al+W,0.0
Li6.600Fe0.10La3Zr1.90Nb0.10O12,6.6,Fe,0.1,Nb,0.1,Fe+Nb,0.0
Li6.500Fe0.10La3Zr1.80Nb0.20O12,6.5,Fe,0.1,Nb,0.2,Fe+Nb,0.0
Li6.450Fe0.10La3Zr1.75Nb0.25O12,6.45,Fe,0.1,Nb,0.25,Fe+Nb,0.0
