formula,Li_pfu,Li_site,Li_site_val,Li_conc,Zr_site,Zr_site_val,Zr_conc,pair,cost_tier,is_novel,charge_check,pfu_score,chgnet_energy_per_atom,chgnet_volume_per_atom,m3gnet_energy_per_atom,model_delta_eV_atom,cross_model_agreement
Li6.500Zn0.10La3Zr1.70Nb0.30O12,6.5,Zn,2,0.1,Nb,5,0.3,Zn+Nb,low,True,0.0,0.0,17.966690063476562,9.426187896551726,,,
Li6.500Zn0.05La3Zr1.60Nb0.40O12,6.5,Zn,2,0.05,Nb,5,0.4,Zn+Nb,low,True,0.0,0.0,18.09519386291504,9.426187896551726,,,
Li6.500Zn0.20La3Zr1.90Nb0.10O12,6.5,Zn,2,0.2,Nb,5,0.1,Zn+Nb,low,True,0.0,0.0,17.693214416503906,9.426187896551726,,,
Li6.500Zn0.15La3Zr1.80Nb0.20O12,6.5,Zn,2,0.15,Nb,5,0.2,Zn+Nb,low,True,0.0,0.0,17.760944366455078,9.426187896551726,,,
Li6.500Mn0.10La3Zr1.80Nb0.20O12,6.5,Mn,3,0.1,Nb,5,0.2,Mn+Nb,low,True,0.0,0.0,17.582191467285156,9.426187896551726,,,
Li6.500Fe0.10La3Zr1.80Nb0.20O12,6.5,Fe,3,0.1,Nb,5,0.2,Fe+Nb,low,True,0.0,0.0,17.69163703918457,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.75Mn0.25O12,6.5,Mg,2,0.25,Mn,4,0.25,Mg+Mn,low,True,0.0,0.0,16.990575790405273,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.80Mn0.20O12,6.5,Mg,2,0.25,Mn,4,0.2,Mg+Mn,low,True,0.0,0.0,17.111507415771484,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.90Sn0.10O12,6.5,Mg,2,0.25,Sn,4,0.1,Mg+Sn,low,True,0.0,0.0,17.29323959350586,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.85Sn0.15O12,6.5,Mg,2,0.25,Sn,4,0.15,Mg+Sn,low,True,0.0,0.0,17.29323959350586,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.80Sn0.20O12,6.5,Mg,2,0.25,Sn,4,0.2,Mg+Sn,low,True,0.0,0.0,17.197574615478516,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.75Sn0.25O12,6.5,Mg,2,0.25,Sn,4,0.25,Mg+Sn,low,True,0.0,0.0,17.171546936035156,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.70Sn0.30O12,6.5,Mg,2,0.25,Sn,4,0.3,Mg+Sn,low,True,0.0,0.0,17.029895782470703,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.70Mn0.30O12,6.5,Mg,2,0.25,Mn,4,0.3,Mg+Mn,low,True,0.0,0.0,16.9169979095459,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.90Fe0.10O12,6.5,Mg,2,0.25,Fe,4,0.1,Mg+Fe,low,True,0.0,0.0,17.120376586914062,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.85Fe0.15O12,6.5,Mg,2,0.25,Fe,4,0.15,Mg+Fe,low,True,0.0,0.0,17.120376586914062,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.80Fe0.20O12,6.5,Mg,2,0.25,Fe,4,0.2,Mg+Fe,low,True,0.0,0.0,16.96344566345215,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.85Mn0.15O12,6.5,Mg,2,0.25,Mn,4,0.15,Mg+Mn,low,True,0.0,0.0,17.22378921508789,9.426187896551726,,,
Li6.500Mg0.25La3Zr1.90Mn0.10O12,6.5,Mg,2,0.25,Mn,4,0.1,Mg+Mn,low,True,0.0,0.0,17.22378921508789,9.426187896551726,,,
Li6.500Mg0.20La3Zr1.90Nb0.10O12,6.5,Mg,2,0.2,Nb,5,0.1,Mg+Nb,low,True,0.0,0.0,17.607431411743164,9.426187896551726,,,
