formula,Li_pfu,Li_site,Li_site_val,Li_conc,Zr_site,Zr_site_val,Zr_conc,pair,cost_tier,is_novel,charge_check
Li6.850Fe0.05La3Zr1.90Ti0.10O12,6.85,Fe,3,0.05,Ti,4,0.1,Fe+Ti,low,True,0.0
Li6.850Fe0.05La3Zr1.85Ti0.15O12,6.85,Fe,3,0.05,Ti,4,0.15,Fe+Ti,low,True,0.0
Li6.850Fe0.05La3Zr1.80Ti0.20O12,6.85,Fe,3,0.05,Ti,4,0.2,Fe+Ti,low,True,0.0
Li6.850Fe0.05La3Zr1.75Ti0.25O12,6.85,Fe,3,0.05,Ti,4,0.25,Fe+Ti,low,True,0.0
Li6.850Fe0.05La3Zr1.70Ti0.30O12,6.85,Fe,3,0.05,Ti,4,0.3,Fe+Ti,low,True,0.0
Li6.850Fe0.05La3Zr1.60Ti0.40O12,6.85,Fe,3,0.05,Ti,4,0.4,Fe+Ti,low,True,0.0
Li6.850Fe0.05La3Zr1.50Ti0.50O12,6.85,Fe,3,0.05,Ti,4,0.5,Fe+Ti,low,True,0.0
Li6.700Fe0.10La3Zr1.90Ti0.10O12,6.7,Fe,3,0.1,Ti,4,0.1,Fe+Ti,low,True,0.0
Li6.700Fe0.10La3Zr1.85Ti0.15O12,6.7,Fe,3,0.1,Ti,4,0.15,Fe+Ti,low,True,0.0
Li6.700Fe0.10La3Zr1.80Ti0.20O12,6.7,Fe,3,0.1,Ti,4,0.2,Fe+Ti,low,True,0.0
Li6.700Fe0.10La3Zr1.75Ti0.25O12,6.7,Fe,3,0.1,Ti,4,0.25,Fe+Ti,low,True,0.0
Li6.700Fe0.10La3Zr1.70Ti0.30O12,6.7,Fe,3,0.1,Ti,4,0.3,Fe+Ti,low,True,0.0
Li6.700Fe0.10La3Zr1.60Ti0.40O12,6.7,Fe,3,0.1,Ti,4,0.4,Fe+Ti,low,True,0.0
Li6.700Fe0.10La3Zr1.50Ti0.50O12,6.7,Fe,3,0.1,Ti,4,0.5,Fe+Ti,low,True,0.0
Li6.550Fe0.15La3Zr1.90Ti0.10O12,6.55,Fe,3,0.15,Ti,4,0.1,Fe+Ti,low,True,0.0
Li6.550Fe0.15La3Zr1.85Ti0.15O12,6.55,Fe,3,0.15,Ti,4,0.15,Fe+Ti,low,True,0.0
Li6.550Fe0.15La3Zr1.80Ti0.20O12,6.55,Fe,3,0.15,Ti,4,0.2,Fe+Ti,low,True,0.0
Li6.550Fe0.15La3Zr1.75Ti0.25O12,6.55,Fe,3,0.15,Ti,4,0.25,Fe+Ti,low,True,0.0
Li6.550Fe0.15La3Zr1.70Ti0.30O12,6.55,Fe,3,0.15,Ti,4,0.3,Fe+Ti,low,True,0.0
Li6.550Fe0.15La3Zr1.60Ti0.40O12,6.55,Fe,3,0.15,Ti,4,0.4,Fe+Ti,low,True,0.0
Li6.550Fe0.15La3Zr1.50Ti0.50O12,6.55,Fe,3,0.15,Ti,4,0.5,Fe+Ti,low,True,0.0
Li6.400Fe0.20La3Zr1.90Ti0.10O12,6.4,Fe,3,0.2,Ti,4,0.1,Fe+Ti,low,True,0.0
Li6.400Fe0.20La3Zr1.85Ti0.15O12,6.4,Fe,3,0.2,Ti,4,0.15,Fe+Ti,low,True,0.0
Li6.400Fe0.20La3Zr1.80Ti0.20O12,6.4,Fe,3,0.2,Ti,4,0.2,Fe+Ti,low,True,0.0
Li6.400Fe0.20La3Zr1.75Ti0.25O12,6.4,Fe,3,0.2,Ti,4,0.25,Fe+Ti,low,True,0.0
Li6.400Fe0.20La3Zr1.70Ti0.30O12,6.4,Fe,3,0.2,Ti,4,0.3,Fe+Ti,low,True,0.0
Li6.400Fe0.20La3Zr1.60Ti0.40O12,6.4,Fe,3,0.2,Ti,4,0.4,Fe+Ti,low,True,0.0
Li6.400Fe0.20La3Zr1.50Ti0.50O12,6.4,Fe,3,0.2,Ti,4,0.5,Fe+Ti,low,True,0.0
Li6.750Fe0.05La3Zr1.90Nb0.10O12,6.75,Fe,3,0.05,Nb,5,0.1,Fe+Nb,low,True,0.0
Li6.700Fe0.05La3Zr1.85Nb0.15O12,6.7,Fe,3,0.05,Nb,5,0.15,Fe+Nb,low,True,0.0
Li6.650Fe0.05La3Zr1.80Nb0.20O12,6.65,Fe,3,0.05,Nb,5,0.2,Fe+Nb,low,True,0.0
Li6.600Fe0.05La3Zr1.75Nb0.25O12,6.6,Fe,3,0.05,Nb,5,0.25,Fe+Nb,low,True,0.0
Li6.550Fe0.05La3Zr1.70Nb0.30O12,6.55,Fe,3,0.05,Nb,5,0.3,Fe+Nb,low,True,0.0
Li6.450Fe0.05La3Zr1.60Nb0.40O12,6.45,Fe,3,0.05,Nb,5,0.4,Fe+Nb,low,True,0.0
Li6.350Fe0.05La3Zr1.50Nb0.50O12,6.35,Fe,3,0.05,Nb,5,0.5,Fe+Nb,low,True,0.0
Li6.600Fe0.10La3Zr1.90Nb0.10O12,6.6,Fe,3,0.1,Nb,5,0.1,Fe+Nb,low,True,0.0
Li6.550Fe0.10La3Zr1.85Nb0.15O12,6.55,Fe,3,0.1,Nb,5,0.15,Fe+Nb,low,True,0.0
Li6.500Fe0.10La3Zr1.80Nb0.20O12,6.5,Fe,3,0.1,Nb,5,0.2,Fe+Nb,low,True,0.0
