formula,Predicted_log_Sigma,Predicted_Sigma_RT_S_cm
Li6.4La3.0Zr1.4Ta0.6O12,-2.9574235395838246,0.001103002407625922
Li6.4La2.95Gd0.05Zr1.4Ta0.6O12,-2.9660732201105415,0.0010812516417310295
Li6.45La2.95Ba0.05Zr1.4Ta0.6O12,-2.970674641285128,0.0010698560790041935
Li6.45La2.95Ca0.05Zr1.4Ta0.6O12,-2.9740867070990764,0.0010614836103360588
Li6.4La2.9Gd0.1Zr1.4Ta0.6O12,-2.9765787677673097,0.0010554100666739078
Li6.35Ga0.05La2.9Ba0.1Zr1.4Ta0.6O12,-2.9862716339782334,0.0010321156564184406
Li6.35Ga0.05La2.9Ca0.1Zr1.4Ta0.6O12,-2.988605959617276,0.0010265829343439918
Li6.4Ga0.05La2.85Ca0.15Zr1.4Ta0.6O12,-2.990676387005237,0.0010217005166527186
Li6.4La2.85Gd0.15Zr1.4Ta0.6O12,-2.990676387005237,0.0010217005166527186
Li6.4La2.8Gd0.2Zr1.4Ta0.6O12,-2.9945766929414432,0.001012565921960004
Li6.4Ga0.05La2.85Ba0.15Zr1.4Ta0.6O12,-2.996817393600958,0.0010073551391819148
Li6.4La2.75Gd0.25Zr1.4Ta0.6O12,-2.9998287699316806,0.0010003943495381278
Li6.4La2.95Ba0.05Zr1.35Ta0.65O12,-3.000627938702321,0.000998555162488922
Li6.45Ga0.05La2.8Ca0.2Zr1.4Ta0.6O12,-3.0027543707930064,0.000993677896001728
Li6.4La2.7Gd0.3Zr1.4Ta0.6O12,-3.003886469150311,0.0009910909965312898
Li6.4Ga0.1La2.7Ca0.3Zr1.4Ta0.6O12,-3.003886469150311,0.0009910909965312898
Li6.4La2.95Ca0.05Zr1.35Ta0.65O12,-3.0041745300677225,0.000990433838928748
Li6.4La2.65Gd0.35Zr1.4Ta0.6O12,-3.0044742724425926,0.0009897504948430452
Li6.35Ga0.1La2.75Ca0.25Zr1.4Ta0.6O12,-3.010263797591098,0.0009766438112819294
Li6.45Ga0.1La2.65Ca0.35Zr1.4Ta0.6O12,-3.0126519502941553,0.0009712880593281065
Li6.4La2.6Gd0.4Zr1.4Ta0.6O12,-3.0152849209818102,0.0009654173045209058
Li6.35La3.0Zr1.35Ta0.65O12,-3.0181168663905726,0.0009591424965193798
Li6.45Ga0.05La2.8Ba0.2Zr1.4Ta0.6O12,-3.020765487684409,0.0009533107981777054
Li6.45La2.9Ba0.1Zr1.35Ta0.65O12,-3.021330725132532,0.0009520708642602525
Li6.45La2.9Ca0.1Zr1.35Ta0.65O12,-3.022139380736693,0.000950299759300861
Li6.35Ga0.15La2.6Ca0.4Zr1.4Ta0.6O12,-3.0247450783740764,0.0009446151826126394
Li6.35Ga0.1La2.75Ba0.25Zr1.4Ta0.6O12,-3.024793843784353,0.0009445091210283085
Li6.4Ga0.05La2.9Ba0.1Zr1.45Ta0.55O12,-3.0248375344090563,0.0009444141068855854
Li6.4Ga0.1La2.7Ba0.3Zr1.4Ta0.6O12,-3.02493581334098,0.0009442004143049744
Li6.35La2.95Gd0.05Zr1.35Ta0.65O12,-3.026025649900063,0.0009418339691510868
Li6.35Ga0.05La2.95Ba0.05Zr1.45Ta0.55O12,-3.0276704228256155,0.0009382737735407314
Li6.45La3.0Zr1.45Ta0.55O12,-3.0297058690484717,0.0009338865721284069
Li6.4Ga0.05La2.8Ca0.2Zr1.35Ta0.65O12,-3.0305025496916933,0.00093217499763605
Li6.4Ga0.15La2.55Ca0.45Zr1.4Ta0.6O12,-3.0306005544796304,0.0009319646626917517
Li6.4La2.55Gd0.45Zr1.4Ta0.6O12,-3.0320111537525785,0.0009289425289401277
Li6.3Ga0.05La2.95Ba0.05Zr1.4Ta0.6O12,-3.032121474295235,0.0009287065866637038
Li6.4Ga0.05La2.9Ca0.1Zr1.45Ta0.55O12,-3.032680658457452,0.0009275115822352331
Li6.45La2.95Gd0.05Zr1.45Ta0.55O12,-3.03301068948761,0.0009268070111761079
Li6.45Ga0.1La2.65Ba0.35Zr1.4Ta0.6O12,-3.033113491192543,0.0009265876529543994
Li6.4Ga0.05La2.95Ba0.05Zr1.5Ta0.5O12,-3.0344955627579093,0.0009236436253560986
Li6.35La2.9Gd0.1Zr1.35Ta0.65O12,-3.0360176192282267,0.0009204122300811408
Li6.35Ga0.05La2.95Ca0.05Zr1.45Ta0.55O12,-3.0369675254666113,0.000918401267716646
Li6.3Ga0.05La2.95Ca0.05Zr1.4Ta0.6O12,-3.037835336644473,0.0009165679422566764
Li6.45La2.9Gd0.1Zr1.45Ta0.55O12,-3.040412548738102,0.0009111449055521112
Li6.35Ga0.15La2.6Ba0.4Zr1.4Ta0.6O12,-3.041349982046217,0.0009091803021667689
Li6.4Ga0.1La2.65Ca0.35Zr1.35Ta0.65O12,-3.041760290159174,0.0009083217421231895
Li6.4Ga0.05La2.95Ca0.05Zr1.5Ta0.5O12,-3.042653200926364,0.0009064561483669004
Li6.45Ga0.05La2.75Ca0.25Zr1.35Ta0.65O12,-3.043827347306496,0.0009040087887456838
Li6.1Ga0.1La3.0Zr1.4Ta0.6O12,-3.0453139229820354,0.0009009196864667813
Li6.4Ga0.05La2.8Ba0.2Zr1.35Ta0.65O12,-3.0456833510033627,0.0009001536544905305
